date,term,bid_cover,offering
2021-11-15,26-Week,3.41,51000000000.0
2021-11-22,26-Week,2.93,51000000000.0
2021-11-29,26-Week,2.99,51000000000.0
2021-12-06,26-Week,2.86,51000000000.0
2021-12-13,26-Week,3.19,51000000000.0
2021-12-20,26-Week,2.85,51000000000.0
2021-12-27,26-Week,2.91,51000000000.0
2022-01-03,26-Week,3.21,51000000000.0
2022-01-10,26-Week,2.9,51000000000.0
2022-01-18,26-Week,2.7,51000000000.0
2022-01-24,26-Week,3.07,51000000000.0
2022-01-31,26-Week,2.74,51000000000.0
2022-02-07,26-Week,3.13,51000000000.0
2022-02-14,26-Week,2.99,51000000000.0
2022-02-22,26-Week,2.75,51000000000.0
2022-02-28,26-Week,3.12,51000000000.0
2022-03-07,26-Week,3.21,51000000000.0
2022-03-14,26-Week,3.08,51000000000.0
2022-03-21,26-Week,3.17,48000000000.0
2022-03-28,26-Week,3.0,48000000000.0
2022-04-04,26-Week,3.29,48000000000.0
2022-04-11,26-Week,3.32,48000000000.0
2022-04-18,26-Week,3.29,48000000000.0
2022-04-25,26-Week,2.99,45000000000.0
2022-05-02,26-Week,2.99,42000000000.0
2022-05-09,26-Week,2.72,42000000000.0
2022-05-16,26-Week,3.09,42000000000.0
2022-05-23,26-Week,3.07,42000000000.0
2022-05-31,26-Week,2.81,42000000000.0
2022-06-06,26-Week,2.87,42000000000.0
2022-06-13,26-Week,3.26,42000000000.0
2022-06-21,26-Week,2.44,42000000000.0
2022-06-27,26-Week,2.79,42000000000.0
2022-07-05,26-Week,2.57,42000000000.0
2022-07-11,26-Week,2.67,42000000000.0
2022-07-18,26-Week,2.65,42000000000.0
2022-07-25,26-Week,3.16,42000000000.0
2022-08-01,26-Week,2.91,42000000000.0
2022-08-08,26-Week,3.09,42000000000.0
2022-08-15,26-Week,2.75,42000000000.0
2022-08-22,26-Week,2.93,42000000000.0
2022-08-29,26-Week,2.88,42000000000.0
2022-09-06,26-Week,3.14,42000000000.0
2022-09-12,26-Week,3.03,42000000000.0
2022-09-19,26-Week,2.75,42000000000.0
2022-09-26,26-Week,2.68,42000000000.0
